,standard regression coefficient
MolWt,-0.25220922980285937
HeavyAtomMolWt,-0.39551066258348305
ExactMolWt,-0.22281574712283286
NumValenceElectrons,0.11087046194705764
MaxPartialCharge,0.949080476133831
MinPartialCharge,-1.0772086832605328
MaxAbsPartialCharge,-0.9073178927962191
MinAbsPartialCharge,-0.873372828371517
MaxEStateIndex,0.03124794186035463
MinEStateIndex,0.1105100993521727
MaxAbsEStateIndex,0.03124794186035463
MinAbsEStateIndex,0.05202142677529272
BalabanJ,-0.004512389107595388
BertzCT,0.24879506977171523
Chi0,-0.5618281205106017
Chi0n,-0.36585938109508304
Chi0v,-0.632599430005791
Chi1,0.01198510248905432
Chi1n,-0.5216691640357727
Chi1v,0.36383436157875876
Chi2n,-0.2290609475314272
Chi2v,0.1244282982101664
Chi3n,0.04135026419043214
Chi3v,-0.015767044275652044
Chi4n,0.06504365177000983
Chi4v,0.027740052994092174
HallKierAlpha,0.17163299137007113
Ipc,0.007132893256365103
Kappa1,0.723135709438253
Kappa2,-0.3285431772529858
Kappa3,0.0013467907686875817
LabuteASA,0.17168516314422747
PEOE_VSA1,0.03715080082704834
PEOE_VSA10,0.019961702056549412
PEOE_VSA14,-0.02157435027798989
PEOE_VSA2,0.07709941193709355
PEOE_VSA3,0.02669343758692076
PEOE_VSA6,0.049078387271631274
PEOE_VSA7,0.07553171952513048
PEOE_VSA8,0.08986314619819488
PEOE_VSA9,0.09044003826108477
SMR_VSA1,0.4570199443952131
SMR_VSA10,-0.09483579232131471
SMR_VSA3,0.06784453592343245
SMR_VSA4,-0.013911645478420222
SMR_VSA5,0.22805920822104653
SMR_VSA6,0.16645173982121345
SMR_VSA7,0.06994815688708766
SMR_VSA9,-0.01685099798067948
SlogP_VSA1,0.2345942845540401
SlogP_VSA10,-0.04314694381519156
SlogP_VSA12,0.5519803349298313
SlogP_VSA2,0.24206639108638092
SlogP_VSA3,0.16788699939399052
SlogP_VSA4,0.16066802700475732
SlogP_VSA5,0.15725927988496077
SlogP_VSA6,0.44497089293009784
TPSA,-0.06792393883282616
EState_VSA1,0.2148992164580352
EState_VSA10,0.11172670629336065
EState_VSA2,0.19898603949225177
EState_VSA3,0.12279449244459947
EState_VSA4,0.16801016108258726
EState_VSA5,0.14331582993322345
EState_VSA6,0.13329276940011223
EState_VSA7,0.1407431895446756
EState_VSA8,0.13628714046304455
EState_VSA9,0.14112996806853542
VSA_EState10,-0.21018775153488276
VSA_EState9,-0.24482701621498246
FractionCSP3,0.037962318053744004
HeavyAtomCount,-0.19579939417854017
NHOHCount,0.1138133958877725
NOCount,0.7805947894304841
NumAliphaticRings,-0.09637613470133174
NumAromaticCarbocycles,-0.07050003526893242
NumAromaticRings,0.019337530041290695
NumHAcceptors,-0.05319340157991503
NumHDonors,0.040707626611795576
NumHeteroatoms,-1.2248114279199735
NumRotatableBonds,-0.0442324903924452
RingCount,-0.06310825328262945
MolLogP,-0.0745255060848325
MolMR,-0.006190293113700482
fr_C_O,0.040595681712071535
fr_C_O_noCOO,0.008061227213635086
fr_NH0,0.25133095801336947
fr_benzene,-0.07050003526893242
fr_bicyclic,-0.032024565121703194
fr_halogen,0.2972886261282205
